{'country': 'Singapore', 'denomination': '2', 'currency': 'Dollar', 'side': 'Back'}
{'country': 'India', 'denomination': '50', 'currency': 'INR', 'side': 'Back'}
{'country': 'Singapore', 'denomination': '2', 'currency': 'SGD', 'side': 'Back'}
{'country': 'India', 'denomination': '20', 'currency': 'INR', 'side': 'Front'}
{'country': 'Singapore', 'denomination': '2', 'currency': 'SGD', 'side': 'Back'}
{'country': 'Singapore', 'denomination': '2', 'currency': 'SGD', 'side': 'Back'}
{'country': 'India', 'denomination': '10', 'currency': 'INR', 'side': 'Back'}
{'country': 'India', 'denomination': '10', 'currency': 'INR', 'side': 'Back'}
{'country': 'India', 'denomination': '20', 'currency': 'INR', 'side': 'Front'}
{'country': 'India', 'denomination': '100', 'currency': 'INR', 'side': 'Back'}
{'country': 'India', 'denomination': '100', 'currency': 'INR', 'side': 'Back'}
{'country': 'India', 'denomination': '100', 'currency': 'INR', 'side': 'Back'}
{'country': 'India', 'denomination': '100', 'currency': 'INR', 'side': 'Back'}
{'country': 'India', 'denomination': '100', 'currency': 'INR', 'side': 'Back'}
{'country': 'India', 'denomination': '100', 'currency': 'INR', 'side': 'Back'}
{'country': 'India', 'denomination': '10', 'currency': 'INR', 'side': 'Front'}
{'country': 'Singapore', 'denomination': '2', 'currency': 'SGD', 'side': 'Back'}
{'country': 'Singapore', 'denomination': '2', 'currency': 'SGD', 'side': 'Back'}
{'country': 'Singapore', 'denomination': '2', 'currency': 'SGD', 'side': 'Back'}
{'country': 'Singapore', 'denomination': '2', 'currency': 'SGD', 'side': 'Front'}
{'country': 'India', 'denomination': '100', 'currency': 'INR', 'side': 'Back'}
